score date Name1 Name2
60 1641030550 Andras Reichardt
65 1641031523 Andras Reichardt
68 1641031916 Andras Reichardt
81 1641032203 Andras Reichardt
84 1641032297 Andras Reichardt
61 1641032462 Andras Reichardt
95 1641032712 Andras Reichardt
64 1641035871 Andras Reichardt
90 1641049148 Andras Reichardt
73 1641049394 Andras Reichardt
79 1641049510 Andras Reichardt
74 1641055719 Andras Reichardt
109 1641075831 Andras Reichardt

    6970 1641076214 Andras Reichardt
84 1641076305 Andras Reichardt
63 1641076400 Andras Reichardt
67 1641076554 Andras Reichardt
70 1641076631 Andras Reichardt
86 1641107031 Andras Reichardt
75 1641107344 Andras Reichardt
67 1641107604 Andras Reichardt
78 1641107827 Andras Reichardt
84 1641108041 Andras Reichardt
68 1641108358 Andras Reichardt
115 1641108488 Andras Reichardt
81 1641108572 Andras Reichardt
73 1641108651 Andras Reichardt
61 1641108743 Andras Reichardt
69 1641109046 Andras Reichardt
69 1641109119 Andras Reichardt
100 1641109308 Andras Reichardt
91 1641109650 Andras Reichardt
85 1641109738 Andras Reichardt
66 1641109898 Andras Reichardt
76 1641110247 Andras Reichardt
82 1641323846 Andras Reichardt
62 1641330184 Andras Reichardt
79 1641330951 Andras Reichardt
82 1641331128 Andras Reichardt
80 1641331212 Andras Reichardt
100 1641331316 Andras Reichardt
81 1641362000 Andras Reichardt
61 1641362099 Andras Reichardt
68 1641362184 Andras Reichardt
74 1641362273 Andras Reichardt
78 1641362764 Andras Reichardt
79 1641363318 Andras Reichardt
74 1641448375 Andras Reichardt
62 1641449341 Andras Reichardt
75 1641449431 Andras Reichardt
71 1641490618 Andras Reichardt
76 1641492270 Andras Reichardt
73 1641496567 Andras Reichardt
66 1641496639 Andras Reichardt
90 1641496789 Andras Reichardt
88 1641505029 Andras Reichardt
79 1641505111 Andras Reichardt
84 1641505576 Andras Reichardt
74 1641505767 Andras Reichardt
80 1641505949 Andras Reichardt
64 1641582367 Andras Reichardt
81 1641582512 Andras Reichardt
66 1641582617 Andras Reichardt
75 1641582836 Andras Reichardt
64 1641582937 Andras Reichardt
87 1641583029 Andras Reichardt
71 1641583586 Andras Reichardt
90 1641625174 Andras Reichardt
72 1641625248 Andras Reichardt
83 1641625365 Andras Reichardt
99 1641626542 Andras Reichardt
89 1641628337 Andras Reichardt
76 1641628883 Andras Reichardt
79 1641628973 Andras Reichardt
86 1641629213 Andras Reichardt
72 1641629370 Andras Reichardt
159 1641629590 Andras Reichardt
96 1641655568 Andras Reichardt
68 1641655640 Andras Reichardt
89 1641655732 Andras Reichardt
79 1641655918 Andras Reichardt
74 1641656041 Andras Reichardt
65 1641656250 Andras Reichardt
65 1641656483 Andras Reichardt
65 1641657290 Andras Reichardt
90 1641657571 Andras Reichardt
57 1641657632 Andras Reichardt
68 1641657721 Andras Reichardt
81 1641657997 Andras Reichardt
85 1641658151 Andras Reichardt
84 1641658569 Andras Reichardt
69 1641658654 Andras Reichardt
71 1641659340 Andras Reichardt
83 1641668916 Andras Reichardt
72 1641669842 Andras Reichardt
66 1641669923 Andras Reichardt
94 1641670350 Andras Reichardt
175 1641671359 Andras Reichardt
75 1641671488 Andras Reichardt
66 1641671570 Andras Reichardt
78 1641672701 Andras Reichardt
105 1641673090 Andras Reichardt
80 1641673175 Andras Reichardt
89 1641762926 Andras Reichardt
90 1641763157 Andras Reichardt
101 1641763593 Andras Reichardt
67 1641763699 Andras Reichardt
72 1641763797 Andras Reichardt
105 1641833851 Andras Reichardt
75 1642019149 Andras Reichardt
73 1642020044 Andras Reichardt
78 1642023987 Andras Reichardt
89 1642024078 Andras Reichardt
80 1642024178 Andras Reichardt
88 1642024269 Andras Reichardt
73 1642025005 Andras Reichardt
115 1642053562 Andras Reichardt
67 1642053743 Andras Reichardt
95 1642054237 Andras Reichardt
83 1642099431 Andras Reichardt
76 1642099529 Andras Reichardt
77 1642239879 Andras Reichardt
60 1642249401 Andras Reichardt
62 1642271939 Andras Reichardt
67 1642272009 Andras Reichardt
77 1642272667 Andras Reichardt
79 1642272771 Andras Reichardt
86 1642330472 Andras Reichardt
92 1642330663 Andras Reichardt
70 1642330850 Andras Reichardt
70 1642333252 Andras Reichardt
90 1642333379 Andras Reichardt
74 1642333457 Andras Reichardt
78 1642333548 Andras Reichardt
71 1642333636 Andras Reichardt
74 1642333713 Andras Reichardt
65 1642333780 Andras Reichardt
73 1642335068 Andras Reichardt
59 1642335233 Andras Reichardt
74 1642335386 Andras Reichardt
65 1642335516 Andras Reichardt
66 1642335794 Andras Reichardt
75 1642335872 Andras Reichardt
73 1642336015 Andras Reichardt
65 1642356357 Andras Reichardt
63 1642356655 Andras Reichardt
63 1642357006 Andras Reichardt
52 1642357063 Andras Reichardt
73 1642359057 Andras Reichardt
58 1642359121 Andras Reichardt
52 1642359178 Andras Reichardt
69 1642359857 Andras Reichardt
66 1642359928 Andras Reichardt
72 1642360264 Andras Reichardt
69 1642360336 Andras Reichardt
71 1642360501 Andras Reichardt
67 1642360571 Andras Reichardt
64 1642360729 Andras Reichardt
50 1642368183 Andras Reichardt
66 1642368291 Andras Reichardt
67 1642521832 Andras Reichardt
85 1642522029 Andras Reichardt
57 1642522177 Andras Reichardt
75 1642528199 Andras Reichardt
72 1642528283 Andras Reichardt
55 1642538888 Andras Reichardt
